"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 15 14:18:26 MSK 2023","Tue Aug 15 14:18:26 MSK 2023","620","","test_jne","Test_Close_Configurator_Window","","","Найти окно конфигуратора",""
"passed","Tue Aug 15 14:17:35 MSK 2023","Tue Aug 15 14:17:35 MSK 2023","600","","test_jne","Test_check_run_configurator_for_check_windows","","","Переход на вкладку external_system",""
"passed","Tue Aug 15 14:30:39 MSK 2023","Tue Aug 15 14:32:00 MSK 2023","81079","","test_jne","Test_check_confirmation_reservations","","","test_find_first_images",""
"passed","Tue Aug 15 14:18:26 MSK 2023","Tue Aug 15 14:18:32 MSK 2023","5630","","test_jne","Test_Close_Configurator_Window","","","Закрытие окна конфигуратора",""
"passed","Tue Aug 15 14:18:01 MSK 2023","Tue Aug 15 14:18:02 MSK 2023","1383","","test_jne","Test_change_ip_configurator","","","Иконка current_station",""
"failed","Tue Aug 15 14:34:10 MSK 2023","Tue Aug 15 14:36:18 MSK 2023","128813","","test_jne","Test_buttons_of_photo","","","Выбираем первое в списке фото",""
"passed","Tue Aug 15 14:24:22 MSK 2023","Tue Aug 15 14:24:23 MSK 2023","566","","test_jne","Test_Main_PM_Window","","","Кнопки закрытия, открытия, сворачивания окна",""
"passed","Tue Aug 15 14:11:56 MSK 2023","Tue Aug 15 14:15:56 MSK 2023","239919","","test_jne","Test_check_wrong_passwords_for_configurator","","","Проверка не верных паролей для конфигуратора",""
"passed","Tue Aug 15 14:30:34 MSK 2023","Tue Aug 15 14:30:39 MSK 2023","5598","","test_jne","Test_check_confirmation_reservations","","","Поиск подтвержденой брони",""
"passed","Tue Aug 15 14:17:35 MSK 2023","Tue Aug 15 14:17:36 MSK 2023","655","","test_jne","Test_check_run_configurator_for_check_windows","","","Переход на вкладку hottel_settings",""
"failed","Tue Aug 15 14:24:10 MSK 2023","Tue Aug 15 14:24:16 MSK 2023","5623","","test_jne","Test_Main_PM_Window","","","Иконка Export to",""
